File,Datei
Edit,Bearbeiten
Project,Projekt
Open,Öffnen
Save,Speichern
Save as...,Speichern unter...
Save level,Level speichern
Save level as...,Level speichern unter...
Import Mesh,Mesh importieren
Quit,Beenden
New,Neu
Add,Hinzufügen
Help,Hilfe
Console,Konsole
Do you really want to exit?,Wollen Sie wirklich beenden?
Object,Objekt
Scale:,Größe:
Parent:,Elternobject:
Play in Editor,Play
Undo,Rückgängig
Redo,Wiederherstellen
Select all,Alles auswählen
Duplicate object,Objekt duplizieren
Delete object,Objekt löschen
Post Effects Setup,Nachbearbeitungsoptionen
Scene setup,Szenen optionen
Delete current scene,Aktuelle Szene löschen
Configuration,Konfiguration
Stop game,Stopp
Light,Licht
Camera,Kamera
Sound,Ton
Add Behavior,Behavior hinzufügen
Scene,Szene
Group,Gruppe
Special,Spezial
Plugin Console,Plugin Konsole
Run Game,Spiel ausführen
Update player,Player aktualisieren
Publish,Veröffentlichen
About,Information
The Neo Editor is distributed under the terms and conditions of the GNU General Public License.,Der Neo Editor steht Ihnen unter den Bedingungen der GNU General Public License zur Verfügung.
Yes,Ja
No,Nein
Copies the player from the editor directory to the project directory.,Kopiert den Player in das aktuelle Projektverzeichnis.
Other,Andere
Face,Vorne
Right,Rechts
Top,Oben
Bottom,Unten
Red:,Rot:
Green:,Grün:
Blue:,Blau:
Intensity:,Intensität:
Choose color:,Wähle Farbe:
Spotlight:,Spotlicht:
Spot Angle:,Spot Winkel:
Shadow:,Schatten:
Shadows:,Schatten:
Shadow Bias:,Schatten Versatz:
Shadow Blur:,Kanten Verwischung:
Shadow Quality:,Schatten Qualität:
Publishing project. Please wait...,Bereite Projekt zum veröffentlichen vor. Bitte warten...
Settings:,Einstellungen:
Invisible:,Unsichtbar:
Edit Materials:,Material bearbeiten:
Shadow,Schatten
Occluder,Occluder
Physics:,Physik:
Shape:,Form:
Box,Box
Sphere,Kugel
Cone,Kegel
Capsule,Kapsel
Cylinder,Zylinder
Convex-hull,Konvexe Hülle
Triangle-mesh,Mesh des Objekts
Ghost,Geist
Mass:,Masse:
Friction:,Reibung:
Restitution:,Widerstand
Physics,Physik
Damping:,Dämpfung:
Linear:,Linear:
Angular:,Angular:
Linear Factor:,Linearer Faktor:
Angular Factor:,Angularer Faktor:
Constraint properties:,Constraint Einstellungen:
Clear Color:,Hintergrundfarbe:
Fog:,Nebel:
Fog Distance:,Nebel Entfernung
Skybox Textures:,Skybox Texturen
Path to textures used by the skybox.,Pfad der Skybox Texturen.
Size:,Größe:
Alignment:,Ausrichtung:
Left,Links
Center,Mitte
Color:,Farbe:
Loop,Wiederholen
Pitch:,Höhe:
Gain:,Lautstärke:
Relative:,Relativ:
New Scene:,Neue Szene:
Cancel,Abbrechen
Scene Name:,Szenenname:
Scene setup:,Szenen Einrichtung
Ambient Light:,Indirekte Beleuchtung:
Emit Color:,Emitter Farbe:
Apply,Anwenden
Shininess:,Reflektivität:
Opacity:,Transparenz:
Diffuse Color:,Diffuse Farbe:
Can't publish: You need to create/open a project first!,Projekt kann nicht veröffentlicht werden: Ein Projekt muss geöffnet sein!
Select a file to save,Wähle eine Datei zum speichern
Select project file,Wähle eine Projekt Datei
You need to save the level before adding meshes!,Das Level muss gespeichert werde bevor ein Mesh geladen werden kann!
Choose mesh,Wähle ein Mesh
Choose file,Wähle eine Datei
Choose font,Wähle eine Schriftart
Could not load font!,Konnt Schriftart nicht laden!
Text field does not exist!,Eingabefeld existiert nicht!
Can't run the game: You first have to open a project!,Konnte das Spiel nicht ausführen: Ein Projekt muss geöffnet sein!
You need to save the level before editing scene properties!,Das Level muss gespeichert werde bevor die Sceneneinstellungen geändert werden können!
Can not delete scene! The level needs at least one scene!,Konnte Szene nicht löschen: Es muss mindestens eine Szene existieren!
Could not retrieve version information from the server!,Keine Versionsinformationen verfügbar!
Version data is invalid! Please try again.,Versionsinformationen sind Beschädigt.
Your language selection requires the application to restart. Continue?,Konfiguration der Sprache benötigt einen Neustart der Applikation. Fortfahren?
If you load a new shader all uniform settings you created will be lost. Continue?,Beim Laden des Shaders werden alle Uniforms gelöscht. Fortfahren?
Apply editor perspective,Kamera zu Editor
Set perspective to camera,Editor zu Kamera
Loading...,Laden...
The Neo Editor is loading. Please wait...,Der Neo Editor lädt. Bitte warten...
